iter	Passed	Remaining
165	241	1212
166	241	1206
167	242	1200
168	242	1194
169	243	1188
170	243	1182
171	244	1176
172	244	1171
173	245	1165
174	246	1159
175	246	1154
176	247	1149
177	247	1144
178	248	1138
179	248	1133
180	249	1127
181	249	1122
182	250	1117
183	250	1112
184	251	1107
185	251	1102
186	252	1097
187	252	1091
188	253	1086
189	253	1081
190	254	1076
191	254	1071
192	255	1067
193	255	1062
194	256	1057
195	256	1053
196	257	1049
197	257	1044
198	258	1040
199	258	1035
200	259	1031
201	259	1026
202	260	1022
203	260	1018
204	261	1014
205	262	1009
206	262	1005
207	263	1001
208	263	997
209	264	994
210	264	990
211	265	986
212	266	983
213	266	979
214	267	975
215	267	972
216	268	968
217	269	964
218	269	961
219	270	957
220	270	954
221	271	951
222	271	947
223	272	943
224	272	940
225	273	936
226	274	933
227	274	929
228	275	926
229	275	923
230	276	919
231	276	916
232	277	913
233	277	909
234	278	906
235	278	903
236	279	899
237	279	896
238	280	893
239	280	889
240	281	886
241	281	883
242	282	880
243	283	876
244	283	873
245	284	870
246	284	867
247	285	864
248	285	861
249	286	858
250	286	855
251	287	852
252	287	849
253	288	846
254	288	843
255	289	840
256	289	837
257	290	834
258	290	831
259	291	828
260	291	825
261	292	822
262	292	820
263	293	817
264	293	814
265	294	811
266	294	809
267	295	806
268	295	804
269	296	801
270	296	798
271	297	796
272	297	793
273	298	791
274	299	788
275	299	786
276	300	784
277	301	781
278	301	779
279	302	776
280	302	774
281	303	772
282	303	769
283	304	767
284	304	764
285	305	762
286	305	760
287	306	757
288	307	755
289	307	753
290	308	750
291	308	748
292	309	746
293	309	743
294	310	741
295	310	738
296	311	736
297	311	734
298	312	732
299	312	730
300	313	727
301	313	725
302	314	723
303	314	721
304	315	718
305	315	716
306	316	714
307	317	712
308	317	710
309	317	707
310	318	705
311	318	703
312	319	701
313	320	699
314	320	697
315	321	695
316	321	693
317	322	691
318	322	688
319	323	686
320	323	684
321	324	683
322	324	680
323	325	678
324	325	676
325	326	674
326	327	673
327	327	670
328	328	668
329	328	667
330	329	665
331	329	663
332	330	661
333	331	660
334	331	658
335	332	656
336	332	654
337	333	652
338	333	650
339	334	648
340	334	646
341	335	644
342	335	642
343	336	641
344	336	639
345	337	637
346	337	635
347	338	633
348	338	631
349	339	630
350	339	628
351	340	626
352	340	624
353	341	623
354	341	621
355	342	619
356	343	617
357	343	616
358	344	614
359	344	612
360	345	610
361	345	609
362	346	607
363	346	605
364	347	603
365	347	602
366	348	600
367	348	599
368	349	597
369	349	595
370	350	594
371	350	592
372	351	590
373	351	589
374	352	587
375	353	585
376	353	584
377	353	582
378	354	580
379	355	579
380	355	577
381	356	576
382	356	574
383	357	572
384	357	571
385	358	570
386	358	568
387	359	566
388	359	565
389	360	563
390	360	562
391	361	560
392	362	559
393	362	557
394	363	556
395	363	554
396	364	552
397	364	551
398	365	549
399	365	548
400	366	546
401	366	545
402	367	544
403	367	542
404	368	541
405	368	539
406	369	538
407	369	536
408	370	535
409	370	533
410	371	532
411	371	530
412	372	529
413	372	527
414	373	526
415	373	524
416	374	523
417	374	521
418	375	520
419	376	519
420	376	518
421	377	516
422	377	515
423	378	513
424	378	512
425	379	511
426	379	509
427	380	508
428	381	507
429	381	506
430	382	504
431	383	503
432	383	502
433	384	501
434	384	499
435	385	498
436	386	497
437	386	496
438	387	494
439	387	493
440	388	492
441	388	490
442	389	489
443	389	488
444	390	486
445	390	485
446	391	483
447	391	482
448	392	481
449	392	480
450	393	478
451	393	477
452	394	476
453	395	475
454	395	473
455	396	472
456	396	471
457	397	470
458	397	468
459	398	467
460	398	466
461	399	464
462	399	463
463	400	462
464	400	461
465	401	459
466	401	458
467	402	457
468	402	456
469	403	454
470	404	453
471	404	452
472	405	451
473	405	450
474	406	448
475	406	447
476	407	446
477	407	445
478	408	443
479	408	442
480	409	441
481	409	440
482	410	438
483	410	437
484	411	436
485	411	435
486	412	434
487	412	433
488	413	432
489	414	430
490	414	429
491	415	428
492	415	427
493	416	426
494	417	425
495	417	424
496	418	423
497	418	421
498	419	420
499	419	419
500	420	418
501	420	417
502	421	416
503	421	415
504	422	413
505	422	412
506	423	411
507	423	410
508	424	409
509	424	408
510	425	406
511	425	405
512	426	404
513	426	403
514	427	402
515	427	401
516	428	400
517	428	399
518	429	397
519	429	396
520	430	395
521	430	394
522	431	393
523	432	392
524	432	391
525	433	390
526	433	389
527	434	388
528	434	387
529	435	385
530	435	384
531	436	383
532	436	382
533	437	381
534	437	380
535	438	379
536	438	378
537	439	377
538	439	376
539	440	375
540	441	374
541	441	373
542	442	372
543	443	371
544	443	370
545	444	369
546	444	368
547	445	367
548	445	366
549	446	365
550	446	363
551	447	362
552	447	361
553	448	360
554	448	359
555	449	358
556	449	357
557	450	356
558	451	356
559	451	354
560	452	353
561	452	352
562	453	351
563	453	350
564	454	349
565	454	348
566	455	347
567	455	346
568	456	345
569	456	344
570	457	343
571	457	342
572	458	341
573	459	340
574	459	339
575	459	338
576	460	337
577	461	336
578	461	335
579	461	334
580	462	333
581	463	332
582	463	331
583	464	330
584	464	329
585	464	328
586	465	327
587	465	326
588	466	325
589	466	324
590	467	323
591	468	322
592	468	321
593	469	320
594	469	319
595	470	318
596	470	317
597	471	316
598	471	315
599	472	314
600	472	314
601	473	313
602	473	312
603	474	311
604	475	310
605	475	309
606	475	308
607	476	307
608	477	306
609	477	305
610	478	304
611	478	303
612	479	302
613	479	301
614	480	300
615	480	299
616	481	298
617	481	297
618	482	296
619	482	295
620	483	294
621	483	294
622	484	293
623	484	292
624	485	291
625	485	290
626	486	289
627	486	288
628	487	287
629	488	286
630	488	285
631	489	284
632	489	283
633	490	282
634	490	282
635	491	281
636	491	280
637	492	279
638	492	278
639	493	277
640	493	276
641	494	275
642	494	274
643	495	273
644	495	272
645	496	271
646	496	271
647	497	270
648	497	269
649	498	268
650	498	267
651	499	266
652	499	265
653	500	264
654	500	263
655	501	262
656	501	262
657	502	261
658	502	260
659	503	259
660	504	258
661	504	257
662	505	256
663	505	255
664	506	254
665	506	254
666	507	253
667	507	252
668	508	251
669	508	250
670	509	249
671	509	248
672	510	248
673	511	247
674	511	246
675	512	245
676	512	244
677	513	243
678	514	243
679	515	242
680	516	241
681	517	241
682	518	240
683	518	239
684	519	238
685	520	238
686	521	237
687	522	236
688	522	236
689	523	235
690	524	234
691	525	233
692	526	233
693	527	232
694	528	231
695	528	230
696	529	230
697	530	229
698	531	228
699	531	227
700	532	227
701	533	226
702	534	225
703	535	224
704	535	224
705	536	223
706	537	222
707	538	221
708	538	221
709	539	220
710	540	219
711	540	218
712	541	218
713	542	217
714	542	216
715	543	215
716	544	214
717	544	213
718	545	213
719	546	212
720	546	211
721	547	210
722	547	209
723	548	209
724	549	208
725	549	207
726	550	206
727	551	205
728	552	205
729	552	204
730	553	203
731	553	202
732	554	201
733	555	201
734	555	200
735	556	199
736	556	198
737	557	197
738	557	197
739	558	196
740	559	195
741	559	194
742	560	193
743	560	192
744	561	192
745	562	191
746	562	190
747	563	189
748	563	188
749	564	188
750	565	187
751	565	186
752	566	185
753	566	184
754	567	184
755	567	183
756	568	182
757	569	181
758	569	180
759	570	180
760	570	179
761	571	178
762	571	177
763	572	176
764	572	176
765	573	175
766	574	174
767	574	173
768	575	172
769	575	171
770	576	171
771	576	170
772	577	169
773	577	168
774	578	167
775	579	167
776	579	166
777	580	165
778	580	164
779	581	163
780	582	163
781	582	162
782	583	161
783	583	160
784	584	160
785	584	159
786	585	158
787	585	157
788	586	156
789	587	156
790	587	155
791	588	154
792	589	153
793	589	153
794	590	152
795	590	151
796	591	150
797	592	149
798	592	149
799	593	148
800	593	147
801	594	146
802	594	145
803	595	145
804	595	144
805	596	143
806	597	142
807	597	142
808	598	141
809	598	140
810	599	139
811	599	138
812	600	138
813	600	137
814	601	136
815	601	135
816	602	134
817	602	134
818	603	133
819	603	132
820	604	131
821	605	131
822	605	130
823	606	129
824	606	128
825	607	127
826	608	127
827	608	126
828	609	125
829	609	124
830	610	124
831	610	123
832	611	122
833	611	121
834	612	121
835	613	120
836	613	119
837	614	118
838	615	118
839	615	117
840	616	116
841	616	115
842	617	114
843	618	114
844	618	113
845	619	112
846	619	111
847	620	111
848	620	110
849	621	109
850	621	108
851	622	108
852	622	107
853	623	106
854	624	105
855	624	105
856	625	104
857	626	103
858	626	102
859	627	102
860	628	101
861	628	100
862	629	99
863	629	99
864	630	98
865	631	97
866	631	96
867	632	96
868	632	95
869	633	94
870	634	93
871	634	93
872	635	92
873	635	91
874	636	90
875	637	90
876	637	89
877	638	88
878	638	87
879	639	87
880	640	86
881	640	85
882	641	84
883	641	84
884	642	83
885	643	82
886	643	82
887	644	81
888	645	80
889	645	79
890	646	79
891	646	78
892	647	77
893	648	76
894	648	76
895	649	75
896	649	74
897	650	73
898	651	73
899	651	72
900	652	71
901	652	70
902	653	70
903	654	69
904	654	68
905	655	68
906	655	67
907	656	66
908	657	65
909	657	65
910	658	64
911	658	63
912	659	62
913	659	62
914	660	61
915	661	60
916	661	59
917	662	59
918	662	58
919	663	57
920	663	56
921	664	56
922	664	55
923	665	54
924	665	53
925	666	53
926	666	52
927	667	51
928	667	51
929	668	50
930	668	49
931	669	48
932	670	48
933	670	47
934	671	46
935	672	45
936	672	45
937	673	44
938	673	43
939	674	43
940	675	42
941	675	41
942	676	40
943	677	40
944	677	39
945	678	38
946	678	37
947	679	37
948	680	36
949	680	35
950	681	35
951	682	34
952	682	33
953	683	32
954	683	32
955	684	31
956	684	30
957	685	30
958	686	29
959	686	28
960	687	27
961	687	27
962	688	26
963	689	25
964	689	25
965	690	24
966	690	23
967	691	22
968	692	22
969	692	21
970	693	20
971	693	19
972	694	19
973	694	18
974	695	17
975	695	17
976	696	16
977	697	15
978	697	14
979	698	14
980	699	13
981	699	12
982	700	12
983	701	11
984	701	10
985	702	9
986	702	9
987	703	8
988	703	7
989	704	7
990	705	6
991	705	5
992	706	4
993	706	4
994	707	3
995	708	2
996	709	2
997	709	1
998	710	0
999	710	0
